,loss,second_objective,generations,metric
0,0.032929824561404086,6.0,1,functional
1,0.08043117408906875,4.0,1,functional
2,1.478803418803419,2.0,1,functional
0,0.03521592442645083,inf,1,functional
1,0.04821524966261809,264.0,1,functional
2,0.057949392712550785,20.0,1,functional
3,0.060320512820513095,15.0,1,functional
4,0.07378137651821859,6.0,1,functional
5,0.155296221322537,4.0,1,functional
6,0.155296221322537,4.0,1,functional
7,1.478803418803419,2.0,1,functional
0,0.0353596491228072,6.0,1,functional
1,0.15304520917678816,4.0,1,functional
2,0.15304520917678816,4.0,1,functional
3,1.478803418803419,2.0,1,functional
0,0.03781106612685542,8.0,1,functional
1,0.04688394062078288,6.0,1,functional
2,1.120854700854702,4.0,1,functional
3,1.478803418803419,2.0,1,functional
0,0.041398785425101114,6.0,1,functional
1,0.09978475033738204,4.0,1,functional
2,1.478803418803419,2.0,1,functional
0,0.03781376518218621,9.0,1,functional
1,0.05855195681511449,4.0,1,functional
2,0.05855195681511449,4.0,1,functional
3,1.478803418803419,2.0,1,functional
0,0.035734143049932554,15.0,1,functional
1,0.04045344129554651,11.0,1,functional
2,0.05329419703103905,6.0,1,functional
3,0.05855195681511449,4.0,1,functional
4,1.478803418803419,2.0,1,functional
0,0.05102361673414302,35.0,1,functional
1,0.05171929824561394,8.0,1,functional
2,0.05855195681511449,4.0,1,functional
3,1.478803418803419,2.0,1,functional
0,0.03300539811066161,15.0,1,functional
1,0.04810256410256425,6.0,1,functional
2,0.08043117408906875,4.0,1,functional
3,1.478803418803419,2.0,1,functional
0,0.037159244264507285,12.0,1,functional
1,0.04025775978407542,11.0,1,functional
2,0.04059379217273973,8.0,1,functional
3,0.2040985155195681,4.0,1,functional
4,1.478803418803419,2.0,1,functional
0,0.0543785425101212,inf,1,functional
1,0.05666261808367057,45.0,1,functional
2,0.057474358974358875,8.0,1,functional
3,0.06505668016194316,6.0,1,functional
4,1.134700854700856,4.0,1,functional
5,1.478803418803419,2.0,1,functional
0,0.03220175438596529,19.0,1,functional
1,0.037657894736842445,8.0,1,functional
2,0.05855195681511449,4.0,1,functional
3,1.478803418803419,2.0,1,functional
0,0.0353596491228072,6.0,1,functional
1,0.08043117408906875,4.0,1,functional
2,0.08043117408906875,4.0,1,functional
3,1.478803418803419,2.0,1,functional
0,0.03176383265856958,21.0,1,functional
1,0.03783738191632918,12.0,1,functional
2,0.04810256410256425,6.0,1,functional
3,0.05855195681511449,4.0,1,functional
4,0.05855195681511449,4.0,1,functional
5,1.478803418803419,2.0,1,functional
0,0.0353596491228072,6.0,1,functional
1,0.05855195681511449,4.0,1,functional
2,1.478803418803419,2.0,1,functional
0,0.037680161943319856,72.0,1,functional
1,0.04678205128205104,20.0,1,functional
2,0.05855195681511449,6.0,1,functional
3,0.23588933873144396,4.0,1,functional
4,1.478803418803419,2.0,1,functional
0,0.03899392712550592,35.0,1,functional
1,0.04289473684210532,19.0,1,functional
2,0.055095141700404915,6.0,1,functional
3,0.05855195681511449,4.0,1,functional
4,1.478803418803419,2.0,1,functional
0,0.037418353576248176,8.0,1,functional
1,0.055178137651821835,6.0,1,functional
2,0.05855195681511449,4.0,1,functional
3,1.478803418803419,2.0,1,functional
0,0.031814439946018847,22.0,1,functional
1,0.04059379217273973,6.0,1,functional
2,0.09978475033738204,4.0,1,functional
3,1.478803418803419,2.0,1,functional
0,0.02846153846153837,6.0,1,functional
1,0.02846153846153837,6.0,1,functional
2,1.1858119658119666,4.0,1,functional
3,1.1858119658119666,4.0,1,functional
4,1.1858119658119666,4.0,1,functional
5,1.478803418803419,2.0,1,functional
0,0.04727732793522249,40.0,1,functional
1,0.05048650472334665,13.0,1,functional
2,0.05855195681511449,4.0,1,functional
3,1.478803418803419,2.0,1,functional
0,0.03679554655870465,262151.0,1,functional
1,0.04019500674763843,71.0,1,functional
2,0.053265856950067525,18.0,1,functional
3,0.05847503373819157,6.0,1,functional
4,0.05847503373819157,6.0,1,functional
5,0.05855195681511449,4.0,1,functional
6,1.478803418803419,2.0,1,functional
0,0.032929824561404086,8.0,1,functional
1,0.05115249662618093,6.0,1,functional
2,0.15304520917678816,4.0,1,functional
3,1.478803418803419,2.0,1,functional
0,0.03623819163292846,21.0,1,functional
1,0.053265856950067525,18.0,1,functional
2,0.05368488529014853,9.0,1,functional
3,0.055095141700404915,6.0,1,functional
4,0.09978475033738204,4.0,1,functional
5,1.478803418803419,2.0,1,functional
0,0.033378542510121345,10.0,1,functional
1,0.04810256410256425,6.0,1,functional
2,0.05855195681511449,4.0,1,functional
3,1.478803418803419,2.0,1,functional
0,0.03711605937921747,20.0,1,functional
1,0.04943522267206468,10.0,1,functional
2,0.05371929824561411,6.0,1,functional
3,0.08043117408906875,4.0,1,functional
4,0.08043117408906875,4.0,1,functional
5,1.478803418803419,2.0,1,functional
0,0.029817813765182,inf,1,functional
1,0.04810256410256425,18.0,1,functional
2,0.04902901484480415,9.0,1,functional
3,0.05662618083670706,8.0,1,functional
4,0.06602091767881241,6.0,1,functional
5,0.08043117408906875,4.0,1,functional
6,1.478803418803419,2.0,1,functional
0,0.02846153846153837,inf,1,functional
1,0.03716734143049916,6.0,1,functional
2,0.09978475033738204,4.0,1,functional
3,1.478803418803419,2.0,1,functional
0,0.02846153846153837,6.0,1,functional
1,0.08043117408906875,4.0,1,functional
2,1.478803418803419,2.0,1,functional
0,0.0353596491228072,8.0,1,functional
1,0.0386842105263156,6.0,1,functional
2,0.05855195681511449,4.0,1,functional
3,0.05855195681511449,4.0,1,functional
4,1.478803418803419,2.0,1,functional
0,0.03334034764906224,28.0,1000,functional
1,0.035282660611517636,16.0,1000,functional
2,0.03638080883216516,14.0,1000,functional
3,0.03638080883216516,14.0,1000,functional
4,0.047211075441413064,12.0,1000,functional
5,0.06456759190384842,10.0,1000,functional
6,0.08664262224484204,8.0,1000,functional
7,0.11675752652390081,6.0,1000,functional
8,0.1473618016677759,4.0,1000,functional
9,0.2807217241514308,2.0,1000,functional
0,0.030255353717261124,28.0,1000,functional
1,0.030543103785772963,22.0,1000,functional
2,0.03328455937047309,20.0,1000,functional
3,0.035282660611517636,16.0,1000,functional
4,0.03638080883216516,14.0,1000,functional
5,0.047211075441413064,12.0,1000,functional
6,0.06456759190384842,10.0,1000,functional
7,0.08664262224484204,8.0,1000,functional
8,0.11783463179736126,6.0,1000,functional
9,0.1473618016677759,4.0,1000,functional
10,0.1473618016677759,4.0,1000,functional
11,0.2807217241514308,2.0,1000,functional
0,0.03142103511725319,36.0,1000,functional
1,0.03273695337274385,32.0,1000,functional
2,0.032868104764514405,18.0,1000,functional
3,0.035282660611517636,16.0,1000,functional
4,0.03638080883216516,14.0,1000,functional
5,0.047211075441413064,12.0,1000,functional
6,0.06456759190384842,10.0,1000,functional
7,0.08664262224484204,8.0,1000,functional
8,0.12025163449868864,6.0,1000,functional
9,0.1473618016677759,4.0,1000,functional
10,0.2807217241514308,2.0,1000,functional
0,0.035282660611517636,16.0,1000,functional
1,0.03638080883216516,14.0,1000,functional
2,0.047211075441413064,12.0,1000,functional
3,0.047211075441413064,12.0,1000,functional
4,0.06456759190384842,10.0,1000,functional
5,0.08664262224484204,8.0,1000,functional
6,0.11675752652390081,6.0,1000,functional
7,0.1473618016677759,4.0,1000,functional
8,0.1473618016677759,4.0,1000,functional
9,0.2807217241514308,2.0,1000,functional
0,0.03075842696629233,21.0,1000,functional
1,0.032117899228751356,18.0,1000,functional
2,0.03428679090161668,16.0,1000,functional
3,0.03638080883216516,14.0,1000,functional
4,0.047211075441413064,12.0,1000,functional
5,0.06456759190384842,10.0,1000,functional
6,0.08664262224484204,8.0,1000,functional
7,0.11675752652390081,6.0,1000,functional
8,0.1473618016677759,4.0,1000,functional
9,0.2807217241514308,2.0,1000,functional
0,0.03386005950749715,28.0,1000,functional
1,0.03669498492737722,16.0,1000,functional
2,0.03676545433191081,14.0,1000,functional
3,0.047211075441413064,12.0,1000,functional
4,0.06456759190384842,10.0,1000,functional
5,0.06456759190384842,10.0,1000,functional
6,0.08664262224484204,8.0,1000,functional
7,0.11675752652390081,6.0,1000,functional
8,0.15018840778295411,4.0,1000,functional
9,0.2807217241514308,2.0,1000,functional
0,0.029940688251184178,22.0,1000,functional
1,0.030831832596014408,18.0,1000,functional
2,0.03381650550052845,16.0,1000,functional
3,0.03638080883216516,14.0,1000,functional
4,0.047211075441413064,12.0,1000,functional
5,0.06456759190384842,10.0,1000,functional
6,0.08664262224484204,8.0,1000,functional
7,0.11675752652390081,6.0,1000,functional
8,0.1473618016677759,4.0,1000,functional
9,0.2807217241514308,2.0,1000,functional
0,0.03148905766746274,33.0,1000,functional
1,0.03256175860313976,23.0,1000,functional
2,0.03333594331127904,19.0,1000,functional
3,0.03497925067533164,16.0,1000,functional
4,0.03638080883216516,14.0,1000,functional
5,0.047211075441413064,12.0,1000,functional
6,0.06456759190384842,10.0,1000,functional
7,0.08664262224484204,8.0,1000,functional
8,0.08664262224484204,8.0,1000,functional
9,0.11675752652390081,6.0,1000,functional
10,0.1473618016677759,4.0,1000,functional
11,0.1473618016677759,4.0,1000,functional
12,0.2807217241514308,2.0,1000,functional
0,0.02869964373801026,27.0,1000,functional
1,0.02958834122851678,23.0,1000,functional
2,0.029940688251184178,18.0,1000,functional
3,0.03381650550052845,16.0,1000,functional
4,0.03638080883216516,14.0,1000,functional
5,0.047211075441413064,12.0,1000,functional
6,0.06456759190384842,10.0,1000,functional
7,0.08664262224484204,8.0,1000,functional
8,0.11675752652390081,6.0,1000,functional
9,0.1473618016677759,4.0,1000,functional
10,0.2807217241514308,2.0,1000,functional
0,0.02983204791919508,21.0,1000,functional
1,0.032372372078456,18.0,1000,functional
2,0.03497925067533164,16.0,1000,functional
3,0.03638080883216516,14.0,1000,functional
4,0.047211075441413064,12.0,1000,functional
5,0.06456759190384842,10.0,1000,functional
6,0.08664262224484204,8.0,1000,functional
7,0.11675752652390081,6.0,1000,functional
8,0.1473618016677759,4.0,1000,functional
9,0.2807217241514308,2.0,1000,functional
0,0.03207923893043113,56.0,1000,functional
1,0.03226471048819651,35.0,1000,functional
2,0.032372372078456,18.0,1000,functional
3,0.035282660611517636,16.0,1000,functional
4,0.03676545433191081,14.0,1000,functional
5,0.047211075441413064,12.0,1000,functional
6,0.06456759190384842,10.0,1000,functional
7,0.08664262224484204,8.0,1000,functional
8,0.11675752652390081,6.0,1000,functional
9,0.1473618016677759,4.0,1000,functional
10,0.2807217241514308,2.0,1000,functional
0,0.03089789766276485,37.0,1000,functional
1,0.031330012136397245,33.0,1000,functional
2,0.03205868535410894,19.0,1000,functional
3,0.03497925067533164,16.0,1000,functional
4,0.03638080883216516,14.0,1000,functional
5,0.03638080883216516,14.0,1000,functional
6,0.047211075441413064,12.0,1000,functional
7,0.047211075441413064,12.0,1000,functional
8,0.06456759190384842,10.0,1000,functional
9,0.08664262224484204,8.0,1000,functional
10,0.08664262224484204,8.0,1000,functional
11,0.11675752652390081,6.0,1000,functional
12,0.11675752652390081,6.0,1000,functional
13,0.1473618016677759,4.0,1000,functional
14,0.2807217241514308,2.0,1000,functional
0,0.03334034764906224,28.0,1000,functional
1,0.03638080883216516,14.0,1000,functional
2,0.047211075441413064,12.0,1000,functional
3,0.06456759190384842,10.0,1000,functional
4,0.0885966801080531,8.0,1000,functional
5,0.11675752652390081,6.0,1000,functional
6,0.1473618016677759,4.0,1000,functional
7,0.2807217241514308,2.0,1000,functional
0,0.03138090670633864,93.0,1000,functional
1,0.031474376541518634,23.0,1000,functional
2,0.03205868535410894,19.0,1000,functional
3,0.033449477351916446,18.0,1000,functional
4,0.03497925067533164,16.0,1000,functional
5,0.03638080883216516,14.0,1000,functional
6,0.047211075441413064,12.0,1000,functional
7,0.06456759190384842,10.0,1000,functional
8,0.08664262224484204,8.0,1000,functional
9,0.11675752652390081,6.0,1000,functional
10,0.1473618016677759,4.0,1000,functional
11,0.2807217241514308,2.0,1000,functional
0,0.032503523470226836,21.0,1000,functional
1,0.034369005206905945,19.0,1000,functional
2,0.035282660611517636,16.0,1000,functional
3,0.03638080883216516,14.0,1000,functional
4,0.047211075441413064,12.0,1000,functional
5,0.06456759190384842,10.0,1000,functional
6,0.08664262224484204,8.0,1000,functional
7,0.08664262224484204,8.0,1000,functional
8,0.11675752652390081,6.0,1000,functional
9,0.1473618016677759,4.0,1000,functional
10,0.1473618016677759,4.0,1000,functional
11,0.2807217241514308,2.0,1000,functional
0,0.03334034764906224,28.0,1000,functional
1,0.035282660611517636,16.0,1000,functional
2,0.03638080883216516,14.0,1000,functional
3,0.047211075441413064,12.0,1000,functional
4,0.06456759190384842,10.0,1000,functional
5,0.08664262224484204,8.0,1000,functional
6,0.11675752652390081,6.0,1000,functional
7,0.1473618016677759,4.0,1000,functional
8,0.2807217241514308,2.0,1000,functional
0,0.03638080883216516,14.0,1000,functional
1,0.047211075441413064,12.0,1000,functional
2,0.06456759190384842,10.0,1000,functional
3,0.06456759190384842,10.0,1000,functional
4,0.08664262224484204,8.0,1000,functional
5,0.11675752652390081,6.0,1000,functional
6,0.1473618016677759,4.0,1000,functional
7,0.2807217241514308,2.0,1000,functional
0,0.032027854989625626,21.0,1000,functional
1,0.03638080883216516,14.0,1000,functional
2,0.047211075441413064,12.0,1000,functional
3,0.06456759190384842,10.0,1000,functional
4,0.08664262224484204,8.0,1000,functional
5,0.11675752652390081,6.0,1000,functional
6,0.1473618016677759,4.0,1000,functional
7,0.1473618016677759,4.0,1000,functional
8,0.2807217241514308,2.0,1000,functional
0,0.03265131347140099,25.0,1000,functional
1,0.03332224092706404,21.0,1000,functional
2,0.03638080883216516,14.0,1000,functional
3,0.047211075441413064,12.0,1000,functional
4,0.06456759190384842,10.0,1000,functional
5,0.08664262224484204,8.0,1000,functional
6,0.11675752652390081,6.0,1000,functional
7,0.1473618016677759,4.0,1000,functional
8,0.2807217241514308,2.0,1000,functional
0,0.029586383745057232,24.0,1000,functional
1,0.029940688251184178,18.0,1000,functional
2,0.03381650550052845,16.0,1000,functional
3,0.03638080883216516,14.0,1000,functional
4,0.047211075441413064,12.0,1000,functional
5,0.06456759190384842,10.0,1000,functional
