,loss,second_objective,generations,metric
6,0.08664262224484204,8.0,1000,functional
7,0.11970109227577008,6.0,1000,functional
8,0.1473618016677759,4.0,1000,functional
9,0.2807217241514308,2.0,1000,functional
0,0.032372372078456,30.0,1000,functional
1,0.03497925067533164,16.0,1000,functional
2,0.03638080883216516,14.0,1000,functional
3,0.03638080883216516,14.0,1000,functional
4,0.047211075441413064,12.0,1000,functional
5,0.047211075441413064,12.0,1000,functional
6,0.06456759190384842,10.0,1000,functional
7,0.08664262224484204,8.0,1000,functional
8,0.11675752652390081,6.0,1000,functional
9,0.1473618016677759,4.0,1000,functional
10,0.2807217241514308,2.0,1000,functional
0,0.034881865873233775,18.0,1000,functional
1,0.03638080883216516,14.0,1000,functional
2,0.047211075441413064,12.0,1000,functional
3,0.06456759190384842,10.0,1000,functional
4,0.08664262224484204,8.0,1000,functional
5,0.11675752652390081,6.0,1000,functional
6,0.1473618016677759,4.0,1000,functional
7,0.2807217241514308,2.0,1000,functional
0,0.03260090827232509,20.0,1000,functional
1,0.033016384136554056,18.0,1000,functional
2,0.03497925067533164,16.0,1000,functional
3,0.03638080883216516,14.0,1000,functional
4,0.047211075441413064,12.0,1000,functional
5,0.06456759190384842,10.0,1000,functional
6,0.08664262224484204,8.0,1000,functional
7,0.11675752652390081,6.0,1000,functional
8,0.1473618016677759,4.0,1000,functional
9,0.2807217241514308,2.0,1000,functional
0,0.03240173433034493,31.0,1000,functional
1,0.033449477351916446,18.0,1000,functional
2,0.03497925067533164,16.0,1000,functional
3,0.03638080883216516,14.0,1000,functional
4,0.047211075441413064,12.0,1000,functional
5,0.06456759190384842,10.0,1000,functional
6,0.0885966801080531,8.0,1000,functional
7,0.11675752652390081,6.0,1000,functional
8,0.1473618016677759,4.0,1000,functional
9,0.2807217241514308,2.0,1000,functional
0,0.029870218846650642,37.0,1000,functional
1,0.030601338918685883,23.0,1000,functional
2,0.030961515875191026,21.0,1000,functional
3,0.032372372078456,18.0,1000,functional
4,0.03497925067533164,16.0,1000,functional
5,0.03638080883216516,14.0,1000,functional
6,0.047211075441413064,12.0,1000,functional
7,0.06456759190384842,10.0,1000,functional
8,0.08664262224484204,8.0,1000,functional
9,0.11675752652390081,6.0,1000,functional
10,0.1473618016677759,4.0,1000,functional
11,0.2807217241514308,2.0,1000,functional
0,0.02982274987276362,74.0,1000,functional
1,0.030261715538503653,55.0,1000,functional
2,0.0310515601143172,40.0,1000,functional
3,0.031159711075441354,35.0,1000,functional
4,0.03379497318247665,30.0,1000,functional
5,0.034369005206905945,19.0,1000,functional
6,0.035282660611517636,16.0,1000,functional
7,0.03638080883216516,14.0,1000,functional
8,0.047211075441413064,12.0,1000,functional
9,0.06456759190384842,10.0,1000,functional
10,0.08664262224484204,8.0,1000,functional
11,0.11675752652390081,6.0,1000,functional
12,0.1473618016677759,4.0,1000,functional
13,0.1473618016677759,4.0,1000,functional
14,0.2807217241514308,2.0,1000,functional
0,0.029717045765963235,56.0,1000,functional
1,0.030870492894335078,33.0,1000,functional
2,0.03235622283991696,19.0,1000,functional
3,0.03497925067533164,16.0,1000,functional
4,0.03638080883216516,14.0,1000,functional
5,0.047211075441413064,12.0,1000,functional
6,0.06456759190384842,10.0,1000,functional
7,0.08664262224484204,8.0,1000,functional
8,0.08664262224484204,8.0,1000,functional
9,0.11675752652390081,6.0,1000,functional
10,0.1473618016677759,4.0,1000,functional
11,0.1473618016677759,4.0,1000,functional
12,0.2807217241514308,2.0,1000,functional
0,0.0339491250048935,45.0,1000,functional
1,0.03542506753317931,18.0,1000,functional
2,0.03638080883216516,14.0,1000,functional
3,0.047211075441413064,12.0,1000,functional
4,0.06456759190384842,10.0,1000,functional
5,0.08664262224484204,8.0,1000,functional
6,0.11675752652390081,6.0,1000,functional
7,0.1473618016677759,4.0,1000,functional
8,1.1052343107700746,2.0,1000,functional
0,0.03638080883216516,14.0,1000,functional
1,0.03638080883216516,14.0,1000,functional
2,0.047211075441413064,12.0,1000,functional
3,0.06456759190384842,10.0,1000,functional
4,0.08664262224484204,8.0,1000,functional
5,0.11675752652390081,6.0,1000,functional
6,0.1473618016677759,4.0,1000,functional
7,0.2807217241514308,2.0,1000,functional
0,0.03076625690012952,41.0,1000,functional
1,0.034797204713620467,26.0,1000,functional
2,0.03484173746231828,19.0,1000,functional
3,0.03638080883216516,14.0,1000,functional
4,0.047211075441413064,12.0,1000,functional
5,0.06456759190384842,10.0,1000,functional
6,0.08664262224484204,8.0,1000,functional
7,0.08664262224484204,8.0,1000,functional
8,0.11675752652390081,6.0,1000,functional
9,0.15018840778295411,4.0,1000,functional
10,0.2807217241514308,2.0,1000,functional
0,0.029161609834397195,35.0,1000,functional
1,0.03142250322984791,32.0,1000,functional
2,0.03143180127627937,25.0,1000,functional
3,0.03255001370238392,21.0,1000,functional
4,0.03381650550052845,16.0,1000,functional
5,0.03638080883216516,14.0,1000,functional
6,0.047211075441413064,12.0,1000,functional
7,0.06456759190384842,10.0,1000,functional
8,0.08664262224484204,8.0,1000,functional
9,0.11675752652390081,6.0,1000,functional
10,0.1473618016677759,4.0,1000,functional
11,0.2807217241514308,2.0,1000,functional
0,0.03342403006694583,28.0,1000,functional
1,0.03638080883216516,14.0,1000,functional
2,0.03638080883216516,14.0,1000,functional
3,0.047211075441413064,12.0,1000,functional
4,0.06456759190384842,10.0,1000,functional
5,0.08664262224484204,8.0,1000,functional
6,0.11675752652390081,6.0,1000,functional
7,0.1473618016677759,4.0,1000,functional
8,0.2807217241514308,2.0,1000,functional
0,0.032940531652507654,42.0,1000,functional
1,0.032940531652507654,42.0,1000,functional
2,0.03334034764906224,28.0,1000,functional
3,0.03497925067533164,16.0,1000,functional
4,0.03638080883216516,14.0,1000,functional
5,0.047211075441413064,12.0,1000,functional
6,0.06456759190384842,10.0,1000,functional
7,0.08664262224484204,8.0,1000,functional
8,0.11675752652390081,6.0,1000,functional
9,0.1473618016677759,4.0,1000,functional
10,0.2807217241514308,2.0,1000,functional
0,0.03267186704772307,30.0,1000,functional
1,0.035282660611517636,16.0,1000,functional
2,0.03638080883216516,14.0,1000,functional
3,0.047211075441413064,12.0,1000,functional
4,0.06456759190384842,10.0,1000,functional
5,0.08664262224484204,8.0,1000,functional
6,0.11675752652390081,6.0,1000,functional
7,0.11675752652390081,6.0,1000,functional
8,0.1473618016677759,4.0,1000,functional
9,0.1473618016677759,4.0,1000,functional
10,0.2807217241514308,2.0,1000,functional
0,0.03356790510120167,19.0,1000,functional
1,0.035282660611517636,16.0,1000,functional
2,0.03638080883216516,14.0,1000,functional
3,0.047211075441413064,12.0,1000,functional
4,0.06456759190384842,10.0,1000,functional
5,0.08664262224484204,8.0,1000,functional
6,0.11675752652390081,6.0,1000,functional
7,0.1473618016677759,4.0,1000,functional
8,0.2807217241514308,2.0,1000,functional
0,0.03334034764906224,28.0,1000,functional
1,0.035282660611517636,16.0,1000,functional
2,0.03638080883216516,14.0,1000,functional
3,0.047211075441413064,12.0,1000,functional
4,0.06456759190384842,10.0,1000,functional
5,0.08664262224484204,8.0,1000,functional
6,0.11675752652390081,6.0,1000,functional
7,0.1473618016677759,4.0,1000,functional
8,0.1473618016677759,4.0,1000,functional
9,0.2807217241514308,2.0,1000,functional
0,0.02846153846153837,6.0,10,functional
1,0.02846153846153837,6.0,10,functional
2,0.05855195681511449,4.0,10,functional
3,1.478803418803419,2.0,10,functional
0,0.027288798920377888,10.0,10,functional
1,0.027288798920377888,10.0,10,functional
2,0.02846153846153837,6.0,10,functional
3,0.05855195681511449,4.0,10,functional
4,1.478803418803419,2.0,10,functional
0,0.08186964378865819,inf,1,functional
1,0.0915542328042328,65566.0,1,functional
2,0.09818546696847752,65564.0,1,functional
3,0.10754658739473882,12.0,1,functional
4,0.12397216633132135,10.0,1,functional
5,0.14355336882405528,8.0,1,functional
6,0.15297813501378593,6.0,1,functional
7,0.1705497801624562,4.0,1,functional
8,0.30088874683284916,2.0,1,functional
0,0.05368153701601186,16.0,10,functional
1,0.05368153701601186,16.0,10,functional
2,0.06934238343185989,14.0,10,functional
3,0.07072730297928992,12.0,10,functional
4,0.07550503073249026,10.0,10,functional
5,0.0885966801080531,8.0,10,functional
6,0.12025163449868864,6.0,10,functional
7,0.1473618016677759,4.0,10,functional
8,1.102356810084955,2.0,10,functional
0,0.04022285949183746,18.0,10,functional
1,0.04595045609364595,14.0,10,functional
2,0.04595045609364595,14.0,10,functional
3,0.05413958814547987,12.0,10,functional
4,0.05413958814547987,12.0,10,functional
5,0.07476803821007721,10.0,10,functional
6,0.07476803821007721,10.0,10,functional
7,0.09964618486473764,8.0,10,functional
8,0.1365418118466899,6.0,10,functional
9,0.15130172650041113,4.0,10,functional
10,1.102356810084955,2.0,10,functional
0,0.06468406216967504,12.0,5,functional
1,0.08012224484203112,10.0,5,functional
2,0.10021679129311356,8.0,5,functional
3,0.1274977488940216,6.0,5,functional
4,0.1574751399600675,4.0,5,functional
5,0.2807217241514308,2.0,5,functional
0,0.0470742240215925,20.0,3,functional
1,0.05550539811066141,8.0,3,functional
2,0.05919770580296918,69.0,3,functional
3,0.06602091767881241,6.0,3,functional
4,0.07977260458839397,16.0,3,functional
5,0.08043117408906875,4.0,3,functional
6,1.478803418803419,2.0,3,functional
0,0.06919704028500978,40.0,10,functional
1,0.10276103041929296,28.0,10,functional
2,0.10562531809106185,278.0,10,functional
3,0.10840298711975899,38.0,10,functional
4,0.11829023607250522,24.0,10,functional
5,0.1300742864972792,22.0,10,functional
6,0.1490163645617193,20.0,10,functional
7,0.1532019535684923,12.0,10,functional
8,0.1536325999295307,6.0,10,functional
9,0.17116137493638178,6.0,10,functional
10,0.17771405081627056,4.0,10,functional
11,0.17788288376463224,6.0,10,functional
12,0.21626521943389576,4.0,10,functional
13,0.2807217241514308,2.0,10,functional
0,0.07258984849078026,649.0,10,functional
1,0.09825392475433581,12.0,10,functional
2,0.11823934150256443,645.0,10,functional
3,0.12622000156598656,643.0,10,functional
4,0.12996270994010112,139.0,10,functional
5,0.132574482245625,134.0,10,functional
6,0.13579258505265623,137.0,10,functional
7,0.13960625220216882,71.0,10,functional
8,0.14183876208746027,68.0,10,functional
9,0.14729328974670164,11.0,10,functional
10,0.15130172650041113,4.0,10,functional
11,0.2313011392553732,16.0,10,functional
12,0.23447519868457112,6.0,10,functional
13,0.2481932427670986,4.0,10,functional
14,0.2807217241514308,2.0,10,functional
0,0.04584615384615359,33.0,10,functional
1,0.04617476383265873,8.0,10,functional
2,0.04688394062078288,6.0,10,functional
3,0.08043117408906875,4.0,10,functional
4,1.478803418803419,2.0,10,functional
0,0.1475041077883666,129.0,10,functional
1,0.16047587148310122,393.0,10,functional
2,0.1682794054450315,405.0,10,functional
3,0.17483278141510128,391.0,10,functional
4,0.22108837432695472,389.0,10,functional
5,0.23103276119214322,65819.0,10,functional
6,1.1016540694490102,115.0,10,functional
7,1.1037353488881592,113.0,10,functional
8,1.1064191039544329,54.0,10,functional
9,1.1640376821119522,16.0,10,functional
10,1.1665023551319984,40.0,10,functional
11,1.2341439369043716,13.0,10,functional
12,1.2606528644977544,6.0,10,functional
13,1.3129587030342866,4.0,10,functional
14,1.4478584729981376,2.0,10,functional
0,0.1184619176420032,38.0,10,functional
1,0.3061045526934453,31.0,10,functional
2,1.109431482090045,24.0,10,functional
3,1.1094314820900453,10.0,10,functional
4,1.1191806331471157,22.0,10,functional
5,1.121426224120935,16.0,10,functional
6,1.1239456676525381,8.0,10,functional
7,1.1393361813999354,12.0,10,functional
8,1.1858363457114698,6.0,10,functional
9,1.2527659108336073,261.0,10,functional
10,1.262953225983131,17.0,10,functional
11,1.263281849052471,8.0,10,functional
12,1.287380874137365,7.0,10,functional
13,1.3032643224887726,4.0,10,functional
14,1.4478584729981376,2.0,10,functional
0,1.2411420204978025,340701.0,50,functional
1,1.2418252806246945,263943.0,50,functional
2,1.242191312835529,340699.0,50,functional
3,1.2422645192776964,263929.0,50,functional
4,1.243094192288921,263927.0,50,functional
5,1.2433870180575886,263925.0,50,functional
6,1.2437286481210341,253254.0,50,functional
7,1.2664226451927771,155877.0,50,functional
8,1.2688628599316722,106399.0,50,functional
9,1.2713274768179585,106395.0,50,functional
10,1.2761102977061964,106148.0,50,functional
11,1.3018789653489482,106141.0,50,functional
12,1.320888238164959,106133.0,50,functional
13,1.3210102489019038,106131.0,50,functional
14,1.3615666178623729,40450.0,50,functional
15,1.388848218643242,40319.0,50,functional
16,1.401488530990728,40317.0,50,functional
17,1.4108101512933153,162.0,50,functional
18,1.4727672035139083,151.0,50,functional
19,1.481039531478769,22.0,50,functional
20,1.4831869204489974,20.0,50,functional
21,1.4860419716935085,14.0,50,functional
22,1.502903855539285,11.0,50,functional
23,1.5368716447047328,6.0,50,functional
24,1.5797462176671542,28.0,50,functional
25,1.58172279160566,12.0,50,functional
26,1.5904099560761342,9.0,50,functional
27,1.603269887750122,6.0,50,functional
28,1.631429965836993,8.0,50,functional
29,1.6391410444119074,4.0,50,functional
30,1.6520253782332857,7.0,50,functional
31,1.6782088823816506,6.0,50,functional
32,1.742288921425086,4.0,50,functional
33,1.742288921425086,4.0,50,functional
34,1.858394338701805,2.0,50,functional
0,0.08319044096728229,170.0,50,functional
1,0.0846384566145092,168.0,50,functional
2,0.08824039829302971,294.0,50,functional
3,0.09100425320056826,82194.0,50,functional
4,0.09392479374110929,16408.0,50,functional
5,0.09444571123755313,292.0,50,functional
6,0.09891841394025641,16406.0,50,functional
7,0.10104014935988614,290.0,50,functional
8,0.10578926031294394,288.0,50,functional
9,0.1091821550497864,28.0,50,functional
10,0.11668944523470864,16394.0,50,functional
11,0.1209083285917491,74.0,50,functional
12,0.1256242958748211,16392.0,50,functional
13,0.12573570412517715,520.0,50,functional
14,0.18352787339971532,16.0,50,functional
15,0.19344726173541893,518.0,50,functional
16,0.1950500213371263,14.0,50,functional
17,0.2005854694167859,6.0,50,functional
18,0.2407901351351357,4.0,50,functional
19,0.28105966571834995,256.0,50,functional
20,0.2812751920341394,2.0,50,functional
